,carName,price,summary,options
47,2009 Dodge Ram 1500,"$14,377","
VIN: 1D3HB13T79J504309
Trim: Sport
Full Style Name: 2WD Crew Cab 140.5"" Sport
Mileage: 145,000 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 390 HP @ 5600 RPM
8 cylinder, 5.7L
Fuel Economy: 14 MPG city
20 MPG highway
Doors: 4
Passengers: 5
Exterior:
White","['5.7l V8 Hemi Multi-Displacement Engine', '5-Speed Automatic Transmission']"
48,2007 Saturn Aura,"$3,129","
VIN: 1G8ZS57N07F217288
Trim: XE
Full Style Name: 4dr Sedan XE
Mileage: 202,113 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 224 HP @ 5800 RPM
6 cylinder, 3.5L
Fuel Economy: 20 MPG city
29 MPG highway
Doors: 4
Passengers: 5
Exterior:
Blue",none
49,2003 Ford Expedition,"$4,769","
VIN: 1FMFU17L53LA62173
Trim: Eddie Bauer
Full Style Name: 5.4L Eddie Bauer
Mileage: 220,000 mi.
Tire Mileage: 20 to 30K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 260 HP @ 4500 RPM
8 cylinder, 5.4L
Fuel Economy: 13 MPG city
18 MPG highway
Doors: 4
Passengers: 6
Exterior:
White",none
50,2012 Chevrolet Suburban,"$10,800","
VIN: 1GNSCJE08CR108792
Trim: LT
Full Style Name: 2WD 4dr 1500 LT
Mileage: 196,844 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 320 HP @ 5400 RPM
8 cylinder, 5.3L
Flex Fuel (E85) capable
Fuel Economy: 15 MPG city
21 MPG highway
17 MPG combined
Doors: 4
Passengers: 8
Exterior:
Silver","['Z71 Appearance Package, Off-Road', 'Trailering Package, Heavy-Duty']"
51,2019 Cadillac CT6,"$50,000","
VIN: 1G6KB5RSXKU129611
Trim: Luxury AWD
Full Style Name: 4dr Sedan 3.6L Luxury AWD
Mileage: 47,000 mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: 335 HP @ 6800 RPM
6 cylinder, 3.6L
Fuel Economy: 18 MPG city
27 MPG highway
21 MPG combined
Doors: 4
Passengers: 5
Exterior:
Red","['Interior Protection Package', 'Convenience Package']"
52,2013 Mazda 2,"$4,669","
VIN: JM1DE1KY2D0155294
Trim: Sport
Full Style Name: 4dr HB Auto Sport
Mileage: 155,000 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 100 HP @ 6000 RPM
4 cylinder, 1.5L
Fuel Economy: 28 MPG city
34 MPG highway
30 MPG combined
Doors: 4
Passengers: 5
Exterior:
Black",none
53,2014 Maserati Quattroporte,"$37,369","
VIN: ZAM56RRA1E1082712
Trim: S Q4
Full Style Name: 4dr Sedan Quattroporte S Q4
Mileage: 54,055 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: All Wheel Drive
Engine: 404 HP @ 5500 RPM
6 cylinder, 3.0L
Fuel Economy: 15 MPG city
24 MPG highway
18 MPG combined
Doors: 4
Passengers: 4
Exterior:
Gray","['Heating Package', 'Sport 21 Package']"
54,2017 Honda Civic Sedan,"$19,999","
VIN: 19XFC2F72HE065615
Trim: EX
Full Style Name: EX CVT
Mileage: 37,000 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 158 HP @ 6500 RPM
4 cylinder, 2.0L
Fuel Economy: 31 MPG city
40 MPG highway
34 MPG combined
Doors: 4
Passengers: 5
Exterior:
White",none
55,2021 Volkswagen Atlas Cross Sport,"$43,000","
VIN: 1V2JE2CA0MC238567
Trim: 3.6L V6 SE w/Technology
Full Style Name: 3.6L V6 SE w/Technology FWD
Mileage: 1,400 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 276 HP @ 6200 RPM
6 cylinder, 3.6L
Fuel Economy: 18 MPG city
23 MPG highway
20 MPG combined
Doors: 4
Passengers: 5
Exterior:
White","['Options', 'Wheels: 20"" Black 5-Spoke Alloy']"
56,2018 Toyota Tacoma,"$40,802","
VIN: 3TMCZ5AN8JM148776
Trim: TRD Sport
Full Style Name: TRD Sport Double Cab 5' Bed V6 4x4 AT
Mileage: 47,000 mi.
Tire Mileage: Under 5K mi.
Transmission: Automatic
Drive Type: Four Wheel Drive
Engine: 278 HP @ 6000 RPM
6 cylinder, 3.5L
Fuel Economy: 18 MPG city
22 MPG highway
20 MPG combined
Doors: 4
Passengers: 5
Exterior:
Silver","['Options', 'Graphite w/Gun Metal, Fabric Seat Trim (Fd)']"
